Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.968,0.035
2,0.969,0.036
3,0.969,0.036
4,0.969,0.036
5,0.969,0.036
6,0.968,0.037
7,0.966,0.04
8,0.966,0.04
9,0.966,0.04
10,0.966,0.039
11,0.966,0.04
12,0.965,0.04
13,0.966,0.039
14,0.965,0.04
15,0.965,0.04
16,0.964,0.042
17,0.964,0.039
18,0.963,0.04
19,0.963,0.04
20,0.963,0.041
21,0.962,0.04
22,0.962,0.039
23,0.962,0.039
24,0.96,0.041
25,0.962,0.039
26,0.961,0.039
27,0.96,0.04
28,0.96,0.04
29,0.959,0.041
30,0.959,0.043
31,0.959,0.041
32,0.959,0.038
33,0.958,0.039
34,0.959,0.039
35,0.958,0.038
36,0.958,0.038
37,0.958,0.037
38,0.958,0.037
39,0.957,0.037
40,0.958,0.036
41,0.959,0.036
42,0.96,0.037
43,0.959,0.036
44,0.959,0.036
45,0.958,0.037
46,0.957,0.038
47,0.955,0.041
48,0.954,0.041
49,0.954,0.041
50,0.955,0.039
51,0.951,0.041
52,0.949,0.041
53,0.951,0.038
54,0.951,0.037
55,0.951,0.04
56,0.95,0.039
57,0.948,0.04
58,0.946,0.037
59,0.944,0.038
60,0.942,0.039
61,0.94,0.039
62,0.941,0.038
63,0.938,0.04
64,0.936,0.04
65,0.935,0.041
66,0.935,0.042
67,0.935,0.043
68,0.934,0.041
69,0.932,0.042
70,0.934,0.042
71,0.935,0.042
72,0.932,0.041
73,0.931,0.045
74,0.932,0.045
75,0.933,0.044
76,0.93,0.046
77,0.926,0.045
78,0.925,0.044
79,0.925,0.044
80,0.925,0.045
81,0.924,0.045
82,0.925,0.043
83,0.924,0.044
84,0.925,0.044
85,0.925,0.043
86,0.924,0.045
87,0.922,0.044
88,0.919,0.044
89,0.921,0.043
90,0.917,0.044
91,0.915,0.047
92,0.914,0.046
93,0.913,0.048
94,0.914,0.051
95,0.915,0.049
96,0.913,0.052
97,0.909,0.054
98,0.91,0.053
99,0.908,0.058
100,0.91,0.055
101,0.907,0.058
102,0.905,0.059
103,0.906,0.057
104,0.905,0.06
105,0.904,0.06
106,0.904,0.058
107,0.9,0.062
108,0.9,0.063
109,0.899,0.065
110,0.897,0.066
111,0.905,0.065
112,0.904,0.064
113,0.901,0.065
114,0.901,0.067
115,0.898,0.068
116,0.9,0.069
117,0.9,0.068
118,0.902,0.066
119,0.897,0.066
120,0.898,0.07
121,0.898,0.07
122,0.898,0.068
123,0.897,0.069
124,0.9,0.069
125,0.9,0.067
126,0.896,0.069
127,0.897,0.072
128,0.897,0.073
129,0.898,0.069
