Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.968,0.035
2,0.96,0.061
3,0.966,0.037
4,0.962,0.038
5,0.933,0.121
6,0.968,0.034
7,0.956,0.068
8,0.928,0.187
9,0.922,0.15
10,0.852,0.27
11,0.934,0.098
12,0.926,0.104
13,0.896,0.19
14,0.963,0.051
15,0.958,0.052
16,0.948,0.07
17,0.93,0.124
18,0.918,0.199
19,0.931,0.122
20,0.965,0.036
21,0.963,0.036
22,0.955,0.065
23,0.961,0.051
24,0.894,0.233
25,0.943,0.09
26,0.942,0.123
27,0.916,0.161
28,0.969,0.032
29,0.949,0.073
30,0.907,0.216
31,0.964,0.04
32,0.934,0.117
33,0.938,0.106
34,0.964,0.046
35,0.95,0.097
36,0.96,0.039
37,0.95,0.066
38,0.956,0.06
39,0.964,0.04
40,0.955,0.064
41,0.957,0.048
42,0.966,0.038
43,0.968,0.035
44,0.962,0.043
45,0.957,0.078
46,0.962,0.037
47,0.967,0.037
48,0.958,0.068
49,0.938,0.121
50,0.971,0.032
51,0.954,0.064
52,0.955,0.065
53,0.97,0.035
54,0.926,0.142
55,0.919,0.221
56,0.965,0.049
57,0.97,0.032
58,0.946,0.115
59,0.952,0.101
60,0.962,0.059
61,0.968,0.035
62,0.966,0.034
63,0.97,0.03
64,0.97,0.034
65,0.946,0.135
66,0.971,0.033
67,0.972,0.03
68,0.959,0.066
69,0.97,0.034
70,0.966,0.036
71,0.962,0.064
72,0.968,0.039
73,0.97,0.034
74,0.973,0.028
75,0.954,0.075
76,0.971,0.035
77,0.953,0.098
78,0.973,0.031
79,0.972,0.029
80,0.974,0.027
81,0.969,0.045
82,0.973,0.031
83,0.975,0.027
84,0.967,0.043
85,0.975,0.028
86,0.919,0.231
87,0.957,0.081
88,0.976,0.026
89,0.949,0.107
90,0.974,0.028
91,0.964,0.052
92,0.976,0.027
93,0.972,0.042
94,0.976,0.032
95,0.976,0.026
96,0.976,0.026
97,0.979,0.024
98,0.97,0.038
99,0.974,0.03
100,0.977,0.023
101,0.971,0.049
102,0.979,0.024
103,0.966,0.051
104,0.975,0.037
105,0.974,0.034
106,0.94,0.154
107,0.955,0.1
108,0.979,0.026
109,0.979,0.021
110,0.968,0.057
111,0.979,0.022
112,0.979,0.028
113,0.979,0.021
114,0.974,0.032
115,0.973,0.036
116,0.978,0.025
117,0.982,0.018
118,0.978,0.025
119,0.981,0.021
120,0.977,0.032
121,0.98,0.021
122,0.977,0.04
123,0.98,0.024
124,0.968,0.051
125,0.985,0.015
126,0.977,0.033
127,0.971,0.049
128,0.985,0.015
129,0.979,0.021
