Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.968,0.035
2,0.924,0.204
3,0.963,0.056
4,0.943,0.091
5,0.959,0.05
6,0.929,0.101
7,0.95,0.043
8,0.944,0.073
9,0.952,0.076
10,0.872,0.241
11,0.926,0.184
12,0.909,0.192
13,0.933,0.085
14,0.958,0.049
15,0.898,0.174
16,0.962,0.037
17,0.93,0.1
18,0.919,0.142
19,0.962,0.039
20,0.941,0.096
21,0.96,0.043
22,0.911,0.156
23,0.93,0.112
24,0.949,0.069
25,0.916,0.125
26,0.96,0.039
27,0.853,0.307
28,0.917,0.183
29,0.956,0.058
30,0.951,0.093
31,0.938,0.097
32,0.959,0.046
33,0.959,0.049
34,0.967,0.038
35,0.935,0.124
36,0.958,0.052
37,0.963,0.05
38,0.945,0.093
39,0.962,0.04
40,0.949,0.087
41,0.963,0.054
42,0.964,0.035
43,0.956,0.061
44,0.943,0.124
45,0.952,0.083
46,0.92,0.213
47,0.914,0.21
48,0.922,0.173
49,0.969,0.038
50,0.968,0.038
51,0.97,0.032
52,0.958,0.059
53,0.96,0.075
54,0.946,0.106
55,0.956,0.082
56,0.947,0.088
57,0.958,0.078
58,0.959,0.066
59,0.971,0.037
60,0.966,0.045
61,0.971,0.032
62,0.938,0.134
63,0.959,0.065
64,0.97,0.031
65,0.969,0.032
66,0.951,0.083
67,0.958,0.075
68,0.962,0.044
69,0.973,0.029
70,0.972,0.03
71,0.975,0.028
72,0.975,0.03
73,0.973,0.029
74,0.975,0.028
75,0.962,0.068
76,0.965,0.037
77,0.973,0.032
78,0.964,0.045
79,0.974,0.03
80,0.974,0.031
81,0.972,0.036
82,0.972,0.038
83,0.975,0.027
84,0.975,0.026
85,0.977,0.026
86,0.978,0.026
87,0.974,0.029
88,0.975,0.029
89,0.964,0.044
90,0.968,0.038
91,0.972,0.038
92,0.964,0.06
93,0.971,0.036
94,0.975,0.028
95,0.976,0.029
96,0.976,0.024
97,0.966,0.058
98,0.978,0.025
99,0.978,0.025
100,0.974,0.037
101,0.978,0.024
102,0.979,0.021
103,0.978,0.021
104,0.979,0.022
105,0.978,0.025
106,0.979,0.022
107,0.978,0.025
108,0.963,0.079
109,0.978,0.022
110,0.969,0.06
111,0.975,0.025
112,0.933,0.197
113,0.977,0.026
114,0.978,0.025
115,0.981,0.021
116,0.975,0.029
117,0.98,0.022
118,0.981,0.02
119,0.971,0.051
120,0.982,0.022
121,0.983,0.018
122,0.978,0.028
123,0.983,0.019
124,0.984,0.018
125,0.982,0.018
126,0.981,0.018
127,0.981,0.028
128,0.984,0.017
129,0.986,0.015
