Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.963,0.045
2,0.923,0.077
3,0.904,0.083
4,0.914,0.07
5,0.93,0.049
6,0.939,0.039
7,0.939,0.044
8,0.938,0.055
9,0.952,0.031
10,0.953,0.034
11,0.955,0.038
12,0.96,0.029
13,0.96,0.026
14,0.964,0.023
15,0.964,0.024
16,0.961,0.026
17,0.96,0.025
18,0.961,0.025
19,0.961,0.025
20,0.962,0.023
21,0.961,0.023
22,0.962,0.022
23,0.963,0.022
24,0.964,0.022
25,0.964,0.024
26,0.967,0.022
27,0.967,0.023
28,0.966,0.024
29,0.969,0.021
30,0.969,0.021
31,0.97,0.02
32,0.972,0.022
33,0.974,0.02
34,0.973,0.021
35,0.976,0.02
36,0.975,0.021
37,0.975,0.02
38,0.976,0.02
39,0.977,0.02
40,0.977,0.02
41,0.978,0.02
42,0.979,0.02
43,0.98,0.019
44,0.98,0.019
45,0.98,0.019
46,0.981,0.018
47,0.981,0.019
48,0.982,0.018
49,0.982,0.018
50,0.982,0.019
51,0.983,0.017
52,0.983,0.016
53,0.983,0.017
54,0.984,0.016
55,0.984,0.016
56,0.984,0.016
57,0.985,0.016
58,0.985,0.015
59,0.985,0.014
60,0.985,0.014
61,0.985,0.014
62,0.986,0.013
63,0.987,0.013
64,0.986,0.013
65,0.986,0.012
66,0.987,0.013
67,0.986,0.014
68,0.986,0.014
69,0.986,0.015
70,0.987,0.013
71,0.986,0.013
72,0.986,0.013
73,0.985,0.016
74,0.986,0.015
75,0.986,0.015
76,0.987,0.014
77,0.985,0.015
78,0.985,0.014
79,0.985,0.014
80,0.985,0.014
81,0.984,0.015
82,0.985,0.015
83,0.985,0.015
84,0.985,0.014
85,0.983,0.017
86,0.987,0.012
87,0.986,0.013
88,0.986,0.014
89,0.985,0.015
90,0.985,0.015
91,0.984,0.016
92,0.985,0.015
93,0.984,0.016
94,0.983,0.018
95,0.984,0.017
96,0.981,0.019
97,0.982,0.019
98,0.983,0.019
99,0.981,0.021
100,0.983,0.018
101,0.978,0.023
102,0.98,0.023
103,0.98,0.022
104,0.978,0.027
105,0.979,0.022
106,0.977,0.025
107,0.975,0.027
108,0.972,0.033
109,0.972,0.034
110,0.974,0.032
111,0.971,0.034
112,0.972,0.034
113,0.969,0.034
114,0.97,0.037
115,0.968,0.039
116,0.967,0.035
117,0.969,0.035
118,0.965,0.038
119,0.961,0.045
120,0.961,0.043
121,0.958,0.053
122,0.951,0.054
123,0.956,0.047
124,0.949,0.058
125,0.946,0.065
126,0.937,0.059
127,0.939,0.052
128,0.904,0.077
129,0.898,0.069
