Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.963,0.045
2,0.942,0.065
3,0.922,0.081
4,0.91,0.086
5,0.913,0.073
6,0.912,0.095
7,0.935,0.054
8,0.931,0.083
9,0.934,0.119
10,0.947,0.061
11,0.969,0.039
12,0.981,0.016
13,0.984,0.018
14,0.989,0.009
15,0.992,0.008
16,0.994,0.005
17,0.995,0.005
18,0.996,0.003
19,0.997,0.004
20,0.997,0.003
21,0.998,0.003
22,0.998,0.002
23,0.998,0.002
24,0.999,0.002
25,0.998,0.002
26,0.999,0.002
27,0.998,0.003
28,0.999,0.002
29,0.999,0.002
30,0.999,0.002
31,0.999,0.002
32,0.999,0.002
33,0.999,0.002
34,0.999,0.002
35,0.999,0.002
36,0.998,0.003
37,0.997,0.004
38,0.998,0.003
39,0.955,0.18
40,0.999,0.002
41,0.999,0.002
42,0.998,0.003
43,0.999,0.002
44,0.999,0.002
45,0.999,0.002
46,0.998,0.003
47,0.998,0.002
48,0.999,0.002
49,0.999,0.003
50,0.998,0.003
51,0.998,0.003
52,0.998,0.003
53,0.998,0.003
54,0.998,0.003
55,0.998,0.003
56,0.98,0.076
57,0.998,0.003
58,0.997,0.004
59,0.998,0.003
60,0.998,0.004
61,0.997,0.004
62,0.997,0.005
63,0.999,0.003
64,0.999,0.002
65,0.998,0.003
66,0.998,0.003
67,0.998,0.003
68,0.998,0.003
69,0.998,0.004
70,0.998,0.003
71,0.998,0.003
72,0.998,0.003
73,0.997,0.005
74,0.998,0.002
75,0.998,0.002
76,0.997,0.005
77,0.997,0.007
78,0.998,0.003
79,0.998,0.003
80,0.997,0.005
81,0.998,0.003
82,0.998,0.003
83,0.995,0.015
84,0.998,0.002
85,0.996,0.008
86,0.999,0.003
87,0.998,0.003
88,0.998,0.003
89,0.999,0.003
90,0.998,0.003
91,0.999,0.002
92,0.998,0.002
93,0.999,0.001
94,0.999,0.002
95,0.998,0.003
96,0.998,0.003
97,0.999,0.001
98,0.999,0.002
99,0.998,0.004
100,0.999,0.001
101,0.998,0.003
102,0.955,0.187
103,0.999,0.003
104,0.999,0.002
105,0.999,0.001
106,1.0,0.001
107,0.998,0.005
108,0.999,0.002
109,0.999,0.003
110,1.0,0.001
111,0.998,0.002
112,0.999,0.001
113,0.998,0.006
114,0.998,0.003
115,0.999,0.002
116,0.999,0.002
117,0.997,0.005
118,0.999,0.003
119,0.997,0.005
120,0.998,0.002
121,0.997,0.005
122,0.998,0.004
123,0.998,0.003
124,0.998,0.002
125,0.996,0.005
126,0.994,0.007
127,0.99,0.009
128,0.984,0.017
129,0.985,0.014
