Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.963,0.045
2,0.942,0.065
3,0.92,0.082
4,0.902,0.094
5,0.89,0.097
6,0.891,0.082
7,0.909,0.054
8,0.911,0.09
9,0.92,0.106
10,0.954,0.039
11,0.968,0.026
12,0.976,0.024
13,0.967,0.061
14,0.983,0.022
15,0.986,0.015
16,0.993,0.006
17,0.996,0.004
18,0.996,0.004
19,0.997,0.003
20,0.998,0.003
21,0.991,0.027
22,0.998,0.002
23,0.998,0.002
24,0.999,0.002
25,0.998,0.002
26,0.995,0.018
27,0.999,0.001
28,0.999,0.001
29,0.999,0.001
30,0.998,0.004
31,0.999,0.002
32,0.999,0.001
33,0.999,0.001
34,0.999,0.001
35,0.999,0.002
36,0.999,0.001
37,0.999,0.002
38,0.999,0.003
39,0.999,0.002
40,0.999,0.002
41,0.999,0.003
42,0.999,0.003
43,0.999,0.002
44,0.999,0.002
45,0.999,0.001
46,0.999,0.001
47,0.999,0.002
48,0.999,0.003
49,0.999,0.002
50,0.999,0.003
51,0.999,0.002
52,0.999,0.002
53,0.999,0.002
54,0.998,0.003
55,0.998,0.003
56,0.999,0.002
57,0.998,0.003
58,0.998,0.003
59,0.998,0.003
60,0.998,0.003
61,0.998,0.003
62,0.998,0.003
63,0.998,0.002
64,0.999,0.003
65,0.998,0.003
66,0.998,0.004
67,0.999,0.002
68,0.999,0.002
69,0.998,0.003
70,0.998,0.003
71,0.998,0.003
72,0.999,0.002
73,0.998,0.003
74,0.997,0.006
75,0.998,0.003
76,0.997,0.004
77,0.998,0.003
78,0.998,0.004
79,0.998,0.003
80,0.996,0.007
81,0.998,0.002
82,0.99,0.031
83,0.999,0.001
84,0.997,0.004
85,0.999,0.002
86,0.998,0.003
87,0.999,0.002
88,0.999,0.002
89,1.0,0.001
90,0.999,0.002
91,0.999,0.002
92,0.998,0.003
93,0.999,0.002
94,0.999,0.001
95,0.998,0.003
96,0.993,0.022
97,0.999,0.003
98,0.998,0.002
99,0.996,0.011
100,0.999,0.002
101,0.999,0.002
102,0.999,0.001
103,0.999,0.002
104,0.999,0.001
105,1.0,0.001
106,0.999,0.001
107,0.999,0.001
108,0.999,0.001
109,0.998,0.004
110,0.998,0.004
111,0.999,0.002
112,0.999,0.002
113,0.998,0.003
114,0.998,0.003
115,0.953,0.191
116,0.996,0.01
117,0.998,0.002
118,0.998,0.002
119,0.996,0.006
120,0.995,0.011
121,0.996,0.008
122,0.997,0.005
123,0.998,0.002
124,0.997,0.003
125,0.994,0.008
126,0.988,0.021
127,0.988,0.013
128,0.986,0.014
129,0.981,0.018
