Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.899,0.09
2,0.9,0.084
3,0.899,0.081
4,0.885,0.083
5,0.882,0.08
6,0.877,0.081
7,0.86,0.096
8,0.867,0.107
9,0.857,0.097
10,0.876,0.098
11,0.897,0.106
12,0.925,0.096
13,0.938,0.066
14,0.955,0.063
15,0.972,0.04
16,0.984,0.017
17,0.982,0.026
18,0.989,0.01
19,0.992,0.007
20,0.992,0.007
21,0.991,0.009
22,0.994,0.007
23,0.994,0.006
24,0.994,0.005
25,0.995,0.004
26,0.995,0.006
27,0.995,0.005
28,0.994,0.007
29,0.994,0.008
30,0.995,0.007
31,0.995,0.005
32,0.995,0.006
33,0.995,0.007
34,0.996,0.006
35,0.995,0.007
36,0.996,0.005
37,0.996,0.006
38,0.996,0.006
39,0.996,0.005
40,0.996,0.004
41,0.995,0.008
42,0.997,0.004
43,0.996,0.007
44,0.996,0.005
45,0.996,0.008
46,0.996,0.006
47,0.996,0.007
48,0.996,0.005
49,0.997,0.005
50,0.996,0.006
51,0.996,0.006
52,0.997,0.003
53,0.997,0.005
54,0.997,0.004
55,0.997,0.005
56,0.997,0.004
57,0.996,0.007
58,0.996,0.007
59,0.997,0.003
60,0.997,0.003
61,0.996,0.006
62,0.996,0.008
63,0.996,0.005
64,0.996,0.007
65,0.996,0.005
66,0.995,0.007
67,0.997,0.004
68,0.997,0.003
69,0.996,0.006
70,0.995,0.007
71,0.996,0.007
72,0.996,0.006
73,0.997,0.003
74,0.996,0.005
75,0.996,0.007
76,0.995,0.007
77,0.996,0.005
78,0.995,0.008
79,0.995,0.008
80,0.995,0.007
81,0.995,0.008
82,0.995,0.008
83,0.996,0.004
84,0.996,0.007
85,0.995,0.008
86,0.996,0.006
87,0.995,0.009
88,0.994,0.009
89,0.995,0.009
90,0.994,0.009
91,0.996,0.005
92,0.994,0.01
93,0.995,0.008
94,0.995,0.008
95,0.996,0.005
96,0.996,0.004
97,0.995,0.006
98,0.996,0.004
99,0.995,0.006
100,0.994,0.009
101,0.994,0.008
102,0.996,0.005
103,0.994,0.009
104,0.995,0.005
105,0.996,0.004
106,0.994,0.01
