Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.968,0.035
2,0.969,0.036
3,0.969,0.036
4,0.97,0.036
5,0.97,0.034
6,0.97,0.034
7,0.969,0.033
8,0.969,0.036
9,0.97,0.034
10,0.97,0.033
11,0.969,0.034
12,0.97,0.036
13,0.969,0.034
14,0.969,0.033
15,0.969,0.033
16,0.969,0.032
17,0.97,0.033
18,0.969,0.033
19,0.968,0.036
20,0.969,0.033
21,0.97,0.033
22,0.969,0.035
23,0.97,0.031
24,0.969,0.034
25,0.971,0.031
26,0.971,0.033
27,0.969,0.034
28,0.971,0.031
29,0.97,0.034
30,0.969,0.034
31,0.969,0.033
32,0.969,0.036
33,0.969,0.034
34,0.97,0.032
35,0.97,0.034
36,0.97,0.032
37,0.97,0.031
38,0.97,0.034
39,0.97,0.031
40,0.971,0.031
41,0.971,0.031
42,0.971,0.031
43,0.971,0.03
44,0.97,0.034
45,0.97,0.033
46,0.97,0.033
47,0.971,0.031
48,0.97,0.033
49,0.971,0.032
50,0.971,0.032
51,0.972,0.031
52,0.971,0.032
53,0.971,0.032
54,0.972,0.031
55,0.971,0.033
56,0.972,0.031
57,0.97,0.032
58,0.971,0.032
59,0.97,0.031
60,0.971,0.031
61,0.973,0.03
62,0.972,0.029
63,0.972,0.031
64,0.973,0.03
65,0.972,0.03
66,0.973,0.03
67,0.973,0.031
68,0.972,0.031
69,0.973,0.03
70,0.972,0.03
71,0.973,0.03
72,0.973,0.028
73,0.973,0.028
74,0.974,0.028
75,0.974,0.028
76,0.974,0.028
77,0.973,0.029
78,0.974,0.029
79,0.973,0.031
80,0.974,0.029
81,0.975,0.028
82,0.975,0.028
83,0.974,0.029
84,0.975,0.03
85,0.975,0.028
86,0.975,0.026
87,0.975,0.027
88,0.976,0.027
89,0.976,0.026
90,0.975,0.027
91,0.976,0.029
92,0.975,0.027
93,0.975,0.028
94,0.974,0.029
95,0.975,0.029
96,0.976,0.027
97,0.976,0.027
98,0.976,0.027
99,0.977,0.026
100,0.977,0.026
101,0.977,0.026
102,0.977,0.025
103,0.976,0.026
104,0.977,0.026
105,0.978,0.023
106,0.978,0.023
107,0.978,0.025
108,0.979,0.024
109,0.978,0.025
110,0.978,0.026
111,0.978,0.025
112,0.978,0.026
113,0.979,0.025
114,0.979,0.023
115,0.979,0.023
116,0.979,0.023
117,0.98,0.022
118,0.98,0.021
119,0.98,0.023
120,0.98,0.024
121,0.981,0.023
122,0.98,0.023
123,0.981,0.022
124,0.982,0.021
125,0.981,0.022
126,0.984,0.019
127,0.981,0.021
128,0.981,0.023
129,0.982,0.021
