Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.804,0.293
2,0.746,0.303
3,0.79,0.216
4,0.871,0.165
5,0.942,0.059
6,0.97,0.016
7,0.977,0.015
8,0.981,0.014
9,0.986,0.006
10,0.989,0.003
11,0.99,0.004
12,0.991,0.004
13,0.992,0.004
14,0.992,0.004
15,0.993,0.004
16,0.993,0.004
17,0.994,0.004
18,0.994,0.005
19,0.994,0.005
20,0.995,0.005
21,0.995,0.004
22,0.995,0.005
23,0.995,0.005
24,0.996,0.005
25,0.996,0.005
26,0.996,0.005
27,0.996,0.006
28,0.996,0.005
29,0.996,0.006
30,0.996,0.006
31,0.996,0.006
32,0.996,0.006
33,0.996,0.006
34,0.996,0.006
35,0.996,0.006
36,0.996,0.006
37,0.996,0.006
38,0.996,0.006
39,0.996,0.005
40,0.996,0.006
41,0.996,0.006
42,0.996,0.005
43,0.996,0.005
44,0.996,0.005
45,0.997,0.005
46,0.997,0.005
47,0.997,0.005
48,0.997,0.004
49,0.997,0.004
50,0.997,0.004
51,0.997,0.004
52,0.997,0.004
53,0.997,0.004
54,0.997,0.003
55,0.997,0.004
56,0.997,0.004
57,0.998,0.003
58,0.998,0.003
59,0.998,0.003
60,0.998,0.003
61,0.998,0.002
62,0.998,0.002
63,0.998,0.002
64,0.998,0.002
65,0.998,0.002
66,0.998,0.002
67,0.998,0.002
68,0.998,0.002
69,0.998,0.002
70,0.998,0.002
71,0.998,0.002
72,0.998,0.003
73,0.998,0.002
74,0.998,0.002
75,0.998,0.002
76,0.998,0.002
77,0.998,0.002
78,0.998,0.002
79,0.998,0.002
80,0.998,0.002
81,0.998,0.002
82,0.998,0.002
83,0.998,0.002
84,0.998,0.002
85,0.998,0.002
86,0.998,0.002
87,0.998,0.002
88,0.998,0.002
89,0.998,0.003
90,0.998,0.003
91,0.998,0.003
92,0.998,0.003
93,0.998,0.003
94,0.998,0.003
95,0.998,0.003
96,0.998,0.003
97,0.998,0.003
98,0.998,0.003
99,0.998,0.002
100,0.998,0.003
101,0.998,0.002
102,0.999,0.002
103,0.999,0.002
104,0.999,0.002
105,0.999,0.002
106,0.999,0.002
107,0.999,0.002
108,0.999,0.002
109,0.999,0.002
110,0.998,0.002
111,0.998,0.002
112,0.998,0.002
113,0.998,0.002
114,0.998,0.002
115,0.998,0.004
116,0.997,0.004
117,0.997,0.005
118,0.997,0.005
119,0.997,0.005
120,0.997,0.006
121,0.996,0.008
122,0.994,0.011
123,0.993,0.013
124,0.992,0.013
125,0.99,0.016
126,0.986,0.022
127,0.976,0.037
128,0.966,0.049
129,0.966,0.045
