Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.913,0.089
2,0.914,0.091
3,0.917,0.092
4,0.919,0.09
5,0.92,0.091
6,0.922,0.088
7,0.922,0.09
8,0.922,0.091
9,0.924,0.09
10,0.925,0.087
11,0.928,0.081
12,0.929,0.078
13,0.93,0.078
14,0.931,0.076
15,0.932,0.074
16,0.933,0.072
17,0.934,0.071
18,0.934,0.071
19,0.935,0.068
20,0.935,0.068
21,0.935,0.068
22,0.935,0.069
23,0.935,0.07
24,0.935,0.07
25,0.935,0.07
26,0.935,0.07
27,0.935,0.069
28,0.935,0.068
29,0.936,0.068
30,0.936,0.067
31,0.936,0.067
32,0.936,0.067
33,0.936,0.067
34,0.936,0.067
35,0.936,0.067
36,0.936,0.067
37,0.937,0.067
38,0.937,0.066
39,0.937,0.066
40,0.938,0.066
41,0.938,0.066
42,0.938,0.066
43,0.938,0.066
44,0.938,0.065
45,0.938,0.065
46,0.939,0.065
47,0.939,0.065
48,0.939,0.065
49,0.94,0.065
50,0.94,0.065
51,0.94,0.065
52,0.94,0.065
53,0.939,0.066
54,0.939,0.066
55,0.939,0.066
56,0.939,0.066
57,0.94,0.066
58,0.94,0.066
59,0.94,0.065
60,0.94,0.065
