Number of Components,Grand Average Area Under Curve,Standard Deviation
1,0.913,0.089
2,0.914,0.091
3,0.917,0.092
4,0.919,0.09
5,0.92,0.091
6,0.922,0.088
7,0.922,0.09
8,0.922,0.091
9,0.924,0.09
10,0.925,0.087
11,0.928,0.081
12,0.929,0.078
13,0.93,0.078
14,0.931,0.076
15,0.932,0.074
16,0.933,0.072
17,0.934,0.071
18,0.934,0.071
19,0.935,0.068
20,0.935,0.068
21,0.935,0.068
22,0.935,0.069
23,0.935,0.07
24,0.935,0.07
25,0.935,0.07
26,0.935,0.07
27,0.935,0.069
28,0.935,0.068
29,0.936,0.068
30,0.936,0.067
31,0.936,0.067
32,0.936,0.067
33,0.936,0.067
34,0.936,0.067
35,0.936,0.067
36,0.936,0.067
37,0.937,0.067
38,0.937,0.066
39,0.937,0.066
40,0.938,0.066
41,0.938,0.066
42,0.938,0.066
43,0.938,0.066
44,0.938,0.065
45,0.938,0.065
46,0.939,0.065
47,0.939,0.065
48,0.939,0.065
49,0.94,0.065
50,0.94,0.065
51,0.94,0.065
52,0.94,0.065
53,0.939,0.066
54,0.939,0.066
55,0.939,0.066
56,0.939,0.066
57,0.94,0.066
58,0.94,0.066
59,0.94,0.065
60,0.94,0.065
61,0.941,0.066
62,0.941,0.065
63,0.941,0.065
64,0.941,0.065
65,0.941,0.065
66,0.941,0.065
67,0.941,0.066
68,0.941,0.066
69,0.941,0.065
70,0.942,0.064
71,0.942,0.064
72,0.942,0.063
73,0.942,0.063
74,0.943,0.063
75,0.943,0.063
76,0.944,0.062
77,0.944,0.062
78,0.944,0.062
79,0.945,0.062
80,0.945,0.061
81,0.945,0.061
82,0.945,0.061
83,0.946,0.06
84,0.946,0.061
85,0.946,0.061
86,0.946,0.061
87,0.946,0.061
88,0.947,0.06
89,0.947,0.059
90,0.947,0.059
91,0.948,0.058
92,0.948,0.057
93,0.948,0.057
94,0.948,0.057
95,0.948,0.057
96,0.948,0.056
97,0.948,0.056
98,0.949,0.056
99,0.949,0.056
100,0.949,0.056
101,0.949,0.057
102,0.949,0.057
103,0.949,0.057
104,0.949,0.057
105,0.95,0.056
106,0.95,0.056
107,0.95,0.056
108,0.951,0.055
109,0.951,0.055
110,0.952,0.055
111,0.953,0.054
112,0.953,0.053
113,0.954,0.054
114,0.954,0.053
115,0.955,0.052
116,0.956,0.053
117,0.956,0.054
118,0.956,0.054
119,0.956,0.053
120,0.956,0.053
121,0.957,0.053
122,0.958,0.052
123,0.959,0.052
124,0.96,0.052
125,0.961,0.051
126,0.962,0.049
127,0.964,0.047
128,0.965,0.046
129,0.966,0.045
